solar_radiation,temperature,wind speed,rain_day,loss
107.23223448065914,11.489378468694024,14.36667715674351,212,0.0
111.23425259409558,11.364847969398006,13.448170398345178,206,0.0
114.21374459849177,11.480483317782843,13.966902885152416,186,0.0
115.62045004746813,11.250834745052813,14.083104373854967,191,0.0
113.70630219497038,11.552247760564445,13.326404288999814,206,0.3
108.23159401044653,11.198437868031517,13.75194141445924,204,0.5
107.76262606805352,11.027944181406793,13.813620838418904,200,0.0
115.3407964129543,11.37202182747835,13.335198709181563,190,0.0
113.8816638982596,11.573578538770054,13.85870373020726,192,0.0
107.9801332883965,11.145983911786459,13.753722753729505,216,0.0
118.67006126481598,11.542248511823948,13.663627609438798,187,0.0
113.50789020448853,11.26386817042232,13.957632567254105,198,0.0
108.4121133472019,11.288317459127844,13.733188943511658,205,0.3
113.60152800162128,11.326020300401863,14.099766820085563,182,0.3
111.6117048150416,11.503353193631506,14.300444373485625,203,0.3
108.23252790903634,11.121802549556968,13.747072074607415,213,0.0
104.47450833385977,11.070695719129867,13.639949719529117,207,0.0
107.51477806931142,11.202661918638345,13.73090482887725,209,0.0
101.87503431700543,11.138708234874782,14.035307834436294,199,0.0
103.60840171433684,11.052663664970156,13.885528085783575,199,0.0
111.14075926668373,11.427094130597888,13.926242251605336,206,0.0
112.80118047131715,11.556507793955381,14.037530265808495,200,0.0
112.84890494094547,11.36658598204444,13.645541005508683,194,0.0
106.23959845546065,11.457221516335316,14.11141152377989,213,0.0
109.74961686496191,11.380383828498223,13.903103080392759,209,0.0
111.60375983683525,11.251028085481268,13.836625203533302,205,0.0
108.90802611352969,11.405775161851249,13.641540168000024,193,0.0
105.879115827536,10.892186519496407,13.849815873573988,195,0.5
115.65691058309922,11.693100450595376,13.76261667013311,191,0.0
119.52671135803118,11.791705104676273,13.799673737206074,176,0.0
116.64721919896508,11.598463741214143,13.998482075725525,209,0.0
104.88036724386983,10.87636638748925,13.67472635357969,203,0.0
108.46265549451292,11.045537869045871,13.911316193176562,196,0.0
115.01760384890798,11.277547827419891,13.851901351576767,199,0.0
112.44600004597571,11.340888233253974,13.761213133743027,206,0.0
112.29391159434562,11.310614471314837,13.814419493351886,202,0.0
